City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Saint George,37.1041,-113.5841,70.39,36,1,1.99,US,2021-11-02 01:30:52
143,Vila Velha,-20.3297,-40.2925,73.35,94,90,12.66,BR,2021-11-02 01:30:52
144,Petropavl,54.8753,69.1628,12.18,73,0,15.66,KZ,2021-11-02 01:30:08
145,Morehead,37.2711,-87.1764,50.11,64,90,0.0,US,2021-11-02 01:30:53
146,Kadnikov,59.5022,40.338,41.18,94,100,4.12,RU,2021-11-02 01:30:53
147,Mayya,61.7333,130.2811,20.52,85,100,8.5,RU,2021-11-02 01:30:53
148,Bambous Virieux,-20.3428,57.7575,70.21,88,40,3.44,MU,2021-11-02 01:30:54
149,Tiksi,71.6872,128.8694,2.71,94,100,6.67,RU,2021-11-02 01:30:54
150,Russell,32.3502,-85.1999,56.43,90,1,0.0,US,2021-11-02 01:30:54
151,Serebryansk,49.6925,83.2892,36.95,100,100,4.74,KZ,2021-11-02 01:30:55
152,Narsaq,60.9167,-46.05,32.22,75,100,6.73,GL,2021-11-02 01:30:55
153,Smithers,54.7804,-127.1743,37.72,52,1,3.44,CA,2021-11-02 01:30:55
154,Ardrishaig,56.0157,-5.4481,48.09,86,100,6.67,GB,2021-11-02 01:30:55
155,Shingu,33.7333,135.9833,70.79,59,48,2.48,JP,2021-11-02 01:30:56
156,Ikom,5.9667,8.7063,72.66,98,97,1.59,NG,2021-11-02 01:30:56
157,Morro Bay,35.3658,-120.8499,64.2,85,76,1.01,US,2021-11-02 01:30:13
158,Parvatipuram,18.7833,83.4333,74.5,89,84,2.33,IN,2021-11-02 01:30:57
159,Maceio,-9.6658,-35.7353,78.24,94,20,3.44,BR,2021-11-02 01:30:57
160,Tucuman,-26.8241,-65.2226,60.8,100,90,5.75,AR,2021-11-02 01:30:58
161,Zolotukhino,52.0842,36.3772,44.67,95,0,7.02,RU,2021-11-02 01:30:58
162,Geraldton,-28.7667,114.6,65.12,59,90,10.36,AU,2021-11-02 01:30:58
163,Villanueva De Cordoba,38.3228,-4.6287,55.13,93,69,3.22,ES,2021-11-02 01:30:59
164,Longyearbyen,78.2186,15.6401,22.84,68,75,20.71,SJ,2021-11-02 01:30:59
165,Saint-Augustin,51.226,-58.6502,48.47,93,98,19.8,CA,2021-11-02 01:30:59
166,Aklavik,68.2191,-135.0107,31.03,91,100,4.34,CA,2021-11-02 01:31:00
167,Progreso,21.2833,-89.6667,76.86,72,19,11.54,MX,2021-11-02 01:31:01
168,Guerrero Negro,27.9769,-114.0611,65.41,83,94,12.44,MX,2021-11-02 01:31:01
169,Thompson,55.7435,-97.8558,28.56,80,75,5.75,CA,2021-11-02 01:31:02
170,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,34,0,15.66,RU,2021-11-02 01:31:03
171,Roald,62.5833,6.1333,53.74,50,40,10.36,NO,2021-11-02 01:31:03
172,Pangody,65.85,74.4859,3.99,98,100,2.13,RU,2021-11-02 01:31:04
173,Ashland,40.8167,-82.2665,45.88,68,100,6.49,US,2021-11-02 01:29:43
174,Deniliquin,-35.5333,144.9667,84.99,20,1,12.91,AU,2021-11-02 01:31:04
175,Komsomolskiy,40.4272,71.7189,40.42,70,0,6.91,UZ,2021-11-02 01:31:04
176,Calama,-22.4667,-68.9333,53.56,31,0,3.11,CL,2021-11-02 01:31:05
177,Mubende,0.5606,31.39,61.41,94,90,0.65,UG,2021-11-02 01:31:05
178,Comodoro Rivadavia,-45.8667,-67.5,51.66,82,0,3.44,AR,2021-11-02 01:31:06
179,Campina Verde,-19.5356,-49.4864,70.65,80,0,1.16,BR,2021-11-02 01:31:06
180,Quechultenango,17.4167,-99.2167,69.8,96,92,0.54,MX,2021-11-02 01:31:06
181,Esso,55.9333,158.7,18.93,83,100,5.77,RU,2021-11-02 01:31:07
182,Polyarnyy,69.1989,33.4478,36.07,90,100,19.86,RU,2021-11-02 01:31:12
183,Natal,-5.795,-35.2094,80.82,78,20,10.36,BR,2021-11-02 01:31:13
184,Xining,36.6167,101.7667,35.47,64,96,0.74,CN,2021-11-02 01:31:13
185,Nioro,13.35,-15.75,75.6,66,9,6.46,GM,2021-11-02 01:31:13
186,Tual,-5.6667,132.75,83.48,73,97,8.01,ID,2021-11-02 01:31:14
187,Richards Bay,-28.783,32.0377,69.58,85,51,22.84,ZA,2021-11-02 01:31:14
188,Usinsk,65.9939,57.5281,-3.3,100,13,3.36,RU,2021-11-02 01:31:15
189,Veraval,20.9,70.3667,74.79,56,77,8.16,IN,2021-11-02 01:31:15
190,Goderich,43.7501,-81.7165,46.9,53,100,14.97,CA,2021-11-02 01:31:15
191,Lvov,49.8383,24.0232,34.18,100,0,6.71,UA,2021-11-02 01:31:16
192,Hami,42.8,93.45,46.87,50,90,4.21,CN,2021-11-02 01:31:16
193,Yeppoon,-23.1333,150.7333,78.58,59,97,15.19,AU,2021-11-02 01:31:17
194,Codrington,-38.2667,141.9667,76.91,42,39,13.94,AU,2021-11-02 01:31:17
195,Kungalv,57.871,11.9805,50.18,94,100,8.72,SE,2021-11-02 01:31:17
196,Yaroslavskaya,44.6106,40.4642,57.25,59,100,3.24,RU,2021-11-02 01:31:17
197,Matagami,49.7502,-77.6328,32.11,100,90,18.41,CA,2021-11-02 01:31:18
198,Leningradskiy,69.3833,178.4167,2.52,76,100,8.86,RU,2021-11-02 01:31:18
199,Selizharovo,56.8519,33.4487,35.71,85,0,4.52,RU,2021-11-02 01:31:19
200,San Calixto,8.4021,-73.2074,58.23,99,80,1.23,CO,2021-11-02 01:31:19
201,Mount Isa,-20.7333,139.5,92.97,38,1,16.11,AU,2021-11-02 01:31:19
202,Jacareacanga,-6.2222,-57.7528,71.04,98,100,1.57,BR,2021-11-02 01:31:19
203,Palu,-0.8917,119.8707,89.65,58,97,1.99,ID,2021-11-02 01:31:20
204,Karaton,-6.3424,106.1045,82.56,69,83,4.45,ID,2021-11-02 01:31:20
205,Okha,53.5739,142.9478,35.8,60,98,8.1,RU,2021-11-02 01:31:21
206,Cedral,23.8,-100.7333,65.79,48,2,10.65,MX,2021-11-02 01:31:21
207,Sao Joao Da Barra,-21.6403,-41.0511,72.3,94,100,16.82,BR,2021-11-02 01:31:22
208,Tongliao,43.6125,122.2653,43.41,30,55,12.01,CN,2021-11-02 01:31:22
209,Terenos,-20.4422,-54.8603,78.51,61,0,9.22,BR,2021-11-02 01:31:23
210,Abu Kamal,34.4506,40.9171,70.59,46,44,5.73,SY,2021-11-02 01:31:23
211,Sitka,57.0531,-135.33,51.69,54,1,8.05,US,2021-11-02 01:31:23
212,Ajaccio,42.0,8.9167,64.45,67,90,2.3,FR,2021-11-02 01:28:10
213,Trairi,-3.2778,-39.2689,79.86,79,100,10.58,BR,2021-11-02 01:29:43
214,Sao Filipe,14.8961,-24.4956,79.45,76,61,2.98,CV,2021-11-02 01:31:24
215,Pacific Grove,36.6177,-121.9166,63.07,88,90,1.99,US,2021-11-02 01:31:24
216,Bilma,18.6853,12.9164,76.15,16,17,8.72,NE,2021-11-02 01:31:25
217,Zemlyansk,51.9041,38.7334,42.44,94,0,6.51,RU,2021-11-02 01:31:25
218,Turukhansk,65.8167,87.9833,-14.53,99,89,4.23,RU,2021-11-02 01:31:26
219,Tsabong,-26.0217,22.401,60.33,42,0,11.56,BW,2021-11-02 01:31:26
220,Victoria,22.2855,114.1577,78.76,77,25,1.99,HK,2021-11-02 01:31:25
221,Saskylakh,71.9167,114.0833,-9.11,100,100,2.68,RU,2021-11-02 01:31:27
222,Doctor Arroyo,23.6667,-100.1833,63.63,60,6,5.7,MX,2021-11-02 01:31:27
223,Pisco,-13.7,-76.2167,64.45,82,90,10.36,PE,2021-11-02 01:31:28
224,Leiyang,26.4024,112.8591,59.77,95,100,4.88,CN,2021-11-02 01:31:28
225,Norman Wells,65.282,-126.8329,23.04,93,75,4.61,CA,2021-11-02 01:31:28
226,Port Hardy,50.6996,-127.4199,46.58,87,90,14.97,CA,2021-11-02 01:31:29
